,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
206,m/10010458-proposal,The Proposal,2009,2015,Rotten,Upright,"['Comedy', 'Romance']"
207,m/10010552-gigantic,Gigantic,2009,2017,Rotten,Spilled,"['Comedy', 'Romance']"
208,m/10010568-fuel,Fuel,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
209,m/10010571-hush,Hush,2009,2016,Rotten,Spilled,['Mystery & Suspense']
210,m/1001063-anna_karenina,Anna Karenina,1935,2008,Fresh,Upright,"['Classics', 'Drama', 'Romance']"
211,m/10010658-orphan,Orphan,2009,2014,Rotten,Upright,"['Drama', 'Horror', 'Mystery & Suspense']"
212,m/10010662-my_sisters_keeper,My Sister's Keeper,2009,2014,Rotten,Upright,['Drama']
213,m/10010667-hangover,The Hangover,2009,2014,Certified-Fresh,Upright,['Comedy']
214,m/10010668-stepfather,The Stepfather,2009,2013,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
215,m/10010675-departures,Okuribito (Departures),2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
216,m/10010680-boogie,Boogie (Summer Holiday),2008,2016,Fresh,Upright,"['Comedy', 'Drama']"
217,m/10010692-ballerina,Prima Ballerina,2009,,Fresh,Upright,"['Art House & International', 'Special Interest']"
218,m/10010694-season_of_the_witch,Season of the Witch,2011,2011,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
219,m/10010703-shuttle,Shuttle,2009,2016,Rotten,Spilled,['Mystery & Suspense']
220,m/10010760-miss_march,Miss March,2009,2015,Rotten,Spilled,['Comedy']
221,m/10010782-american_affair,An American Affair,2009,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
222,m/10010785-grace,Grace,2009,2017,Fresh,Spilled,"['Drama', 'Horror']"
223,m/10010787-endgame,Endgame,2009,2015,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
224,m/10010789-red_baron,The Red Baron (Der rote Baron),2008,2014,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Romance']"
225,m/10010919-objective,The Objective,2008,2016,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
226,m/10010940-happy_tears,Happy Tears,2010,2016,Rotten,Spilled,"['Comedy', 'Drama']"
227,m/10010944-missing_person,The Missing Person,2009,2016,Fresh,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
228,m/10010957-polanski_unauthorized,Polanski (Polanski Unauthorized),2009,2016,Rotten,Spilled,"['Art House & International', 'Drama']"
229,m/10010972-mammoth,Mammoth (Mammut),2009,2016,Rotten,Upright,"['Art House & International', 'Drama']"
230,m/10011003-crude,Crude,2009,2017,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
231,m/10011016-messenger,The Messenger,2009,2017,Certified-Fresh,Upright,"['Drama', 'Romance']"
232,m/10011050-lake_mungo,Lake Mungo,2009,2016,Fresh,Upright,"['Horror', 'Mystery & Suspense']"
233,m/10011079-country_teacher,Venkovský Ucitel (The Country Teacher),2008,2016,Fresh,Upright,"['Art House & International', 'Drama']"
234,m/1001115-apartment,The Apartment,1960,2016,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Romance']"
235,m/10011154-golden_boys,Chatham (The Golden Boys),2009,2016,Rotten,Spilled,"['Comedy', 'Romance']"
236,m/1001117-ape,The Ape,1940,2015,Rotten,Spilled,"['Classics', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
237,m/10011235-fame,Fame,2009,2016,Rotten,Spilled,"['Drama', 'Musical & Performing Arts', 'Romance']"
238,m/10011262-outrage,Outrage,2009,2017,Certified-Fresh,Upright,['Documentary']
239,m/10011284-skin,Skin,2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
